2019-07-17 08:30:42,466 - BDM-WAM 1563348642.4478228 - INFO - <Event(17-VideoExpose {})>
2019-07-17 08:30:42,923 - BDM-WAM 1563348642.4478228 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 08:30:42,923 - BDM-WAM 1563348642.4478228 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 08:30:42,924 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (482, 232), 'rel': (483, 233), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:42,924 - BDM-WAM 1563348642.4478228 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 08:30:42,934 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (486, 239), 'rel': (4, 7), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:42,935 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (458, 248), 'rel': (-28, 9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:43,046 - BDM-WAM 1563348642.4478228 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 08:30:44,374 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (799, 271), 'rel': (361, 10), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,391 - BDM-WAM 1563348642.4478228 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 08:30:44,477 - BDM-WAM 1563348642.4478228 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 08:30:44,477 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (689, 479), 'rel': (-110, 208), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,496 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (497, 545), 'rel': (-192, 66), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,510 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (334, 596), 'rel': (-163, 51), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,526 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (242, 599), 'rel': (-92, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,543 - BDM-WAM 1563348642.4478228 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 08:30:44,596 - BDM-WAM 1563348642.4478228 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 08:30:44,597 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (194, 586), 'rel': (-48, -13), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,612 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (218, 561), 'rel': (24, -25), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,628 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (274, 535), 'rel': (56, -26), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,644 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (315, 530), 'rel': (41, -5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,659 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (340, 537), 'rel': (25, 7), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,677 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (353, 546), 'rel': (13, 9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,692 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (362, 555), 'rel': (9, 9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 08:30:44,708 - BDM-WAM 1563348642.4478228 - INFO - <Event(4-MouseMotion {'pos': (366, 566), 'rel': (4, 11), 'buttons': (0, 0, 0), 'window': None})>
