,file,time_step,step,luck_skill,score,skill_luck_rating,molexy,mole_x,mole_y,rel_x,rel_y,distance
0,Anna.log,60.0,1.0,,,,119366.0,119.0,366.0,-12.0,-314.5,314.728851553206
1,Anna.log,192.0,2.0,,,,119366.0,119.0,366.0,-18.0,38.5,42.5
2,Anna.log,303.0,3.0,,6.0,0.4783,179169.0,179.0,169.0,8.0,-6.5,10.307764064044152
3,Anna.log,519.0,4.0,,6.0,0.4783,60311.0,603.0,11.0,-1.0,1.5,1.8027756377319946
4,Anna.log,689.0,5.0,,6.0,0.4783,464119.0,464.0,119.0,137.0,-89.5,163.64366776627807
5,Anna.log,802.0,6.0,,6.0,0.4783,464119.0,464.0,119.0,-3.0,4.5,5.408326913195984
6,Anna.log,935.0,7.0,,9.0,0.74,60311.0,603.0,11.0,-1.0,-0.5,1.118033988749895
7,Anna.log,1077.0,8.0,,1.0,0.985,179169.0,179.0,169.0,24.0,-3.5,24.253865671269807
8,Anna.log,1289.0,9.0,,1.0,0.985,636366.0,636.0,366.0,-1.0,-1.5,1.8027756377319946
9,Anna.log,1448.0,10.0,,1.0,0.985,60311.0,603.0,11.0,-1.0,8.5,8.558621384311845
10,Anna.log,1576.0,11.0,,1.0,0.985,404479.0,404.0,479.0,-22.0,-2.5,22.14158982548453
11,Anna.log,1701.0,12.0,,9.0,0.32,60311.0,603.0,11.0,0.0,-0.5,0.5
12,Anna.log,1893.0,13.0,,9.0,0.32,9543.0,95.0,43.0,2.0,-8.5,8.73212459828649
13,Anna.log,2043.0,14.0,,9.0,0.32,9543.0,95.0,43.0,19.0,14.5,23.90083680543424
14,Anna.log,2153.0,15.0,,6.0,0.3233,60311.0,603.0,11.0,8.0,6.5,10.307764064044152
15,Anna.log,2337.0,16.0,,6.0,0.3233,381295.0,381.0,295.0,24.0,184.5,186.0544275205511
16,Anna.log,2465.0,17.0,,6.0,0.3233,381295.0,381.0,295.0,-11.0,2.5,11.280514172678478
17,Anna.log,2536.0,18.0,,6.0,0.1816,464119.0,464.0,119.0,4.0,7.5,8.5
18,Anna.log,2684.0,19.0,,6.0,0.1816,636366.0,636.0,366.0,-3.0,0.5,3.0413812651491097
19,Anna.log,2808.0,20.0,,6.0,0.1816,464119.0,464.0,119.0,-6.0,1.5,6.18465843842649
20,Anna.log,2919.0,21.0,,6.0,0.1816,179169.0,179.0,169.0,8.0,-2.5,8.381527307120106
21,Anna.log,3084.0,22.0,,6.0,0.1816,179169.0,179.0,169.0,6.0,1.5,6.18465843842649
22,Anna.log,3210.0,23.0,,6.0,0.1816,636366.0,636.0,366.0,-3.0,-1.5,3.3541019662496847
23,Anna.log,3354.0,24.0,,7.0,0.9833,119366.0,119.0,366.0,-1.0,7.5,7.566372975210778
24,Anna.log,3486.0,25.0,,9.0,0.0166,119366.0,119.0,366.0,1.0,-0.5,1.118033988749895
25,Anna.log,3637.0,26.0,,9.0,0.0166,464119.0,464.0,119.0,-13.0,0.5,13.009611831257688
26,Anna.log,3762.0,27.0,,9.0,0.0166,60311.0,603.0,11.0,6.0,1.5,6.18465843842649
27,Anna.log,3891.0,28.0,,9.0,0.0166,60311.0,603.0,11.0,3.0,-5.5,6.264982043070834
28,Anna.log,3996.0,29.0,,9.0,0.0166,464119.0,464.0,119.0,8.0,-1.5,8.139410298049853
29,Anna.log,4104.0,30.0,,8.0,0.8483,9543.0,95.0,43.0,4.0,2.5,4.716990566028302
30,Anna.log,4296.0,31.0,,8.0,0.8483,179169.0,179.0,169.0,-17.0,3.5,17.356554957709783
31,Anna.log,4409.0,32.0,,8.0,0.9983,119366.0,119.0,366.0,-2.0,-2.5,3.2015621187164243
32,Anna.log,4520.0,33.0,,1.0,0.9983,179169.0,179.0,169.0,-7.0,-1.5,7.158910531638177
33,Anna.log,4676.0,34.0,,1.0,0.9983,404479.0,404.0,479.0,0.0,0.5,0.5
34,Anna.log,4813.0,35.0,,1.0,0.9983,119366.0,119.0,366.0,-12.0,1.5,12.093386622447824
35,Anna.log,4957.0,36.0,,9.0,0.775,60311.0,603.0,11.0,1.0,2.5,2.692582403567252
36,Anna.log,5156.0,37.0,,9.0,0.775,658232.0,658.0,232.0,-484.0,-59.5,487.64356860313455
37,Anna.log,5243.0,38.0,,9.0,0.775,658232.0,658.0,232.0,-4.0,5.5,6.800735254367722
38,Anna.log,5416.0,39.0,,9.0,0.775,9543.0,95.0,43.0,-4.0,3.5,5.315072906367325
39,Anna.log,5567.0,40.0,,9.0,0.775,404479.0,404.0,479.0,-5.0,-1.5,5.220153254455275
40,Anna.log,5697.0,41.0,,9.0,0.775,636366.0,636.0,366.0,4.0,-6.5,7.632168761236874
41,Anna.log,5851.0,42.0,,9.0,0.775,658232.0,658.0,232.0,-6.0,-8.5,10.404326023342406
42,Anna.log,6005.0,43.0,,1.0,0.7083,404479.0,404.0,479.0,5.0,10.5,11.629703349613008
43,Anna.log,6194.0,44.0,,1.0,0.7083,179169.0,179.0,169.0,-21.0,-4.5,21.47673159491453
44,Anna.log,6356.0,45.0,,1.0,0.7083,119366.0,119.0,366.0,-3.0,-8.5,9.013878188659973
45,Anna.log,6479.0,46.0,,1.0,0.7083,119366.0,119.0,366.0,1.0,3.5,3.640054944640259
46,Anna.log,6585.0,47.0,,3.0,0.7883,179169.0,179.0,169.0,15.0,11.5,18.9010581714358
47,Anna.log,6701.0,48.0,0.19,3.0,0.995,404479.0,404.0,479.0,-6.0,-13.5,14.773286702694158
48,Anna.log,6909.0,49.0,0.19,3.0,0.995,404479.0,404.0,479.0,1.0,-1.5,1.8027756377319946
49,Anna.log,7004.0,50.0,0.19,2.0,0.0216,636366.0,636.0,366.0,5.0,-2.5,5.5901699437494745
50,Anna.log,7191.0,51.0,0.19,8.0,0.9916,179169.0,179.0,169.0,-2.0,3.5,4.031128874149275
51,Anna.log,7357.0,52.0,0.19,8.0,0.9916,658232.0,658.0,232.0,-6.0,2.5,6.5
52,Anna.log,7531.0,53.0,0.19,8.0,0.9916,60311.0,603.0,11.0,-1.0,8.5,8.558621384311845
53,Anna.log,7661.0,54.0,0.19,8.0,0.9916,60311.0,603.0,11.0,-12.0,6.5,13.647344063956181
54,Anna.log,7919.0,55.0,0.19,8.0,0.9916,60311.0,603.0,11.0,-13.0,-1.5,13.0862523283024
55,Anna.log,8059.0,56.0,0.19,8.0,0.9883,381295.0,381.0,295.0,1.0,3.5,3.640054944640259
56,Anna.log,8232.0,57.0,0.19,8.0,0.9883,9543.0,95.0,43.0,6.0,11.5,12.971121771072847
57,Anna.log,8340.0,58.0,0.19,6.0,0.9916,636366.0,636.0,366.0,0.0,10.5,10.5
58,Anna.log,8464.0,59.0,0.19,5.0,0.99,381295.0,381.0,295.0,8.0,10.5,13.200378782444085
59,Anna.log,8606.0,60.0,0.19,5.0,0.99,9543.0,95.0,43.0,-8.0,1.5,8.139410298049853
60,Anna.log,8729.0,61.0,0.19,5.0,0.99,60311.0,603.0,11.0,-8.0,8.5,11.672617529928752
61,Anna.log,8880.0,62.0,0.19,6.0,0.7666,404479.0,404.0,479.0,10.0,2.5,10.307764064044152
62,Anna.log,9020.0,63.0,0.19,2.0,0.02,658232.0,658.0,232.0,21.0,1.5,21.0535032714273
63,Anna.log,9241.0,64.0,0.19,2.0,0.02,179169.0,179.0,169.0,5.0,15.5,16.28649747490233
64,Anna.log,9381.0,65.0,0.19,2.0,0.02,60311.0,603.0,11.0,0.0,8.5,8.5
65,Anna.log,9498.0,66.0,0.19,2.0,0.02,119366.0,119.0,366.0,-4.0,-4.5,6.020797289396148
66,Anna.log,9608.0,67.0,0.19,9.0,0.025,404479.0,404.0,479.0,-2.0,0.5,2.0615528128088303
67,Anna.log,9785.0,68.0,0.19,9.0,0.025,119366.0,119.0,366.0,-4.0,1.5,4.272001872658765
68,Anna.log,9889.0,69.0,0.19,5.0,0.02,636366.0,636.0,366.0,6.0,9.5,11.236102527122116
69,Anna.log,10026.0,70.0,0.19,9.0,0.0183,404479.0,404.0,479.0,-1.0,1.5,1.8027756377319946
70,Anna.log,10170.0,71.0,0.19,5.0,0.0583,381295.0,381.0,295.0,-11.0,2.5,11.280514172678478
71,Anna.log,10330.0,72.0,0.19,6.0,0.035,464119.0,464.0,119.0,5.0,9.5,10.735455276791944
72,Anna.log,10505.0,73.0,0.19,6.0,0.035,60311.0,603.0,11.0,-2.0,-3.5,4.031128874149275
73,Anna.log,10634.0,74.0,0.19,6.0,0.035,404479.0,404.0,479.0,0.0,-8.5,8.5
74,Anna.log,10792.0,75.0,0.19,6.0,0.035,9543.0,95.0,43.0,-6.0,-2.5,6.5
75,Anna.log,10930.0,76.0,0.19,6.0,0.035,404479.0,404.0,479.0,6.0,9.5,11.236102527122116
76,Anna.log,11044.0,77.0,0.19,6.0,0.9783,464119.0,464.0,119.0,-2.0,8.5,8.73212459828649
77,Anna.log,11242.0,78.0,0.19,6.0,0.9783,381295.0,381.0,295.0,-2.0,5.5,5.852349955359813
78,Anna.log,11368.0,79.0,0.19,6.0,0.9783,9543.0,95.0,43.0,-1.0,-1.5,1.8027756377319946
79,Anna.log,11486.0,80.0,0.19,6.0,0.9783,381295.0,381.0,295.0,0.0,-6.5,6.5
80,Anna.log,11604.0,81.0,0.19,6.0,0.9783,658232.0,658.0,232.0,-6.0,4.5,7.5
81,Anna.log,11752.0,82.0,0.19,5.0,0.975,179169.0,179.0,169.0,-12.0,0.5,12.010412149464313
82,Anna.log,11964.0,83.0,0.19,5.0,0.975,381295.0,381.0,295.0,-5.0,7.5,9.013878188659973
83,Anna.log,12091.0,84.0,0.19,7.0,0.0066,636366.0,636.0,366.0,-2.0,-6.5,6.800735254367722
84,Anna.log,12248.0,85.0,0.19,7.0,0.0066,119366.0,119.0,366.0,485.0,-353.5,600.1560213811072
85,Anna.log,12374.0,86.0,0.19,7.0,0.0066,119366.0,119.0,366.0,-8.0,-0.5,8.0156097709407
86,Anna.log,12514.0,87.0,0.19,7.0,0.0116,9543.0,95.0,43.0,4.0,1.5,4.272001872658765
87,Anna.log,12685.0,88.0,0.19,1.0,0.0233,381295.0,381.0,295.0,3.0,9.5,9.962429422585638
88,Anna.log,12821.0,89.0,0.19,6.0,0.03,636366.0,636.0,366.0,-1.0,0.5,1.118033988749895
89,Anna.log,12959.0,90.0,0.19,3.0,0.035,464119.0,464.0,119.0,11.0,15.5,19.00657780874821
90,Anna.log,13137.0,91.0,0.19,3.0,0.16,9543.0,95.0,43.0,11.0,1.5,11.10180165558726
91,Anna.log,13303.0,92.0,0.19,4.0,0.0983,381295.0,381.0,295.0,-3.0,-8.5,9.013878188659973
92,Anna.log,13462.0,93.0,0.19,2.0,0.2583,179169.0,179.0,169.0,-5.0,1.5,5.220153254455275
93,Anna.log,13579.0,94.0,0.19,1.0,0.0033,381295.0,381.0,295.0,7.0,6.5,9.5524865872714
94,Anna.log,13703.0,95.0,0.19,1.0,0.0033,404479.0,404.0,479.0,2.0,7.5,7.762087348130012
95,Anna.log,13757.0,96.0,0.19,6.0,0.1083,381295.0,381.0,295.0,0.0,-1.5,1.5
96,Anna.log,13877.0,97.0,0.19,6.0,0.1083,381295.0,381.0,295.0,6.0,-0.5,6.020797289396148
97,Anna.log,14018.0,98.0,0.19,6.0,0.1083,9543.0,95.0,43.0,12.0,5.5,13.200378782444085
98,Anna.log,14180.0,99.0,0.19,6.0,0.1083,404479.0,404.0,479.0,195.0,-468.5,507.4615749000115
99,Anna.log,14310.0,100.0,0.19,6.0,0.1083,404479.0,404.0,479.0,3.0,1.5,3.3541019662496847
100,Anna.log,14447.0,101.0,0.19,1.0,0.9733,464119.0,464.0,119.0,9.0,-1.5,9.12414379544733
101,Anna.log,14501.0,102.0,0.19,1.0,0.9733,381295.0,381.0,295.0,13.0,8.5,15.532224567009067
102,Anna.log,14594.0,103.0,0.19,2.0,0.0116,404479.0,404.0,479.0,5.0,-10.5,11.629703349613008
103,Anna.log,14745.0,104.0,0.19,2.0,0.0116,60311.0,603.0,11.0,21.0,14.5,25.51960031034969
104,Anna.log,14875.0,105.0,0.19,2.0,0.0116,9543.0,95.0,43.0,3.0,-3.5,4.6097722286464435
105,Anna.log,14979.0,106.0,0.19,8.0,0.01,636366.0,636.0,366.0,0.0,4.5,4.5
106,Anna.log,15121.0,107.0,0.19,8.0,0.03,658232.0,658.0,232.0,4.0,4.5,6.020797289396148
107,Anna.log,15290.0,108.0,0.19,8.0,0.03,636366.0,636.0,366.0,-4.0,-8.5,9.394147114027968
108,Anna.log,15405.0,109.0,0.19,8.0,0.03,464119.0,464.0,119.0,-5.0,0.5,5.024937810560445
109,Anna.log,15531.0,110.0,0.19,8.0,0.0116,636366.0,636.0,366.0,0.0,-3.5,3.5
110,Anna.log,15687.0,111.0,0.19,8.0,0.0116,9543.0,95.0,43.0,3.0,-0.5,3.0413812651491097
111,Anna.log,15791.0,112.0,0.19,8.0,0.0116,658232.0,658.0,232.0,6.0,-3.5,6.946221994724902
112,Anna.log,15917.0,113.0,0.19,8.0,0.0116,9543.0,95.0,43.0,-7.0,7.5,10.259142264341596
113,Anna.log,16063.0,114.0,0.19,8.0,0.0116,404479.0,404.0,479.0,-9.0,5.5,10.547511554864494
114,Anna.log,16204.0,115.0,0.19,8.0,0.0116,60311.0,603.0,11.0,12.0,-4.5,12.816005617976296
115,Anna.log,16343.0,116.0,0.19,8.0,0.0116,404479.0,404.0,479.0,3.0,-2.5,3.905124837953327
116,Anna.log,16464.0,117.0,0.19,8.0,0.0116,464119.0,464.0,119.0,5.0,5.5,7.433034373659253
117,Anna.log,16597.0,118.0,0.19,8.0,0.0116,658232.0,658.0,232.0,1.0,0.5,1.118033988749895
118,Anna.log,16753.0,119.0,0.19,8.0,0.0116,464119.0,464.0,119.0,2.0,-8.5,8.73212459828649
119,Anna.log,16885.0,120.0,0.19,4.0,0.9866,179169.0,179.0,169.0,-6.0,-7.5,9.604686356149273
120,Anna.log,17052.0,121.0,0.19,4.0,0.9866,464119.0,464.0,119.0,-5.0,-3.5,6.103277807866851
121,Anna.log,17184.0,122.0,0.19,4.0,0.9866,60311.0,603.0,11.0,6.0,-0.5,6.020797289396148
122,Anna.log,17314.0,123.0,0.19,4.0,0.9866,464119.0,464.0,119.0,-1.0,3.5,3.640054944640259
123,Anna.log,17451.0,124.0,0.19,4.0,0.9866,636366.0,636.0,366.0,0.0,12.5,12.5
124,Anna.log,17572.0,125.0,0.19,4.0,0.9866,60311.0,603.0,11.0,1.0,12.5,12.539936203984453
125,Anna.log,17710.0,126.0,0.19,4.0,0.9866,119366.0,119.0,366.0,-8.0,-10.5,13.200378782444085
126,Anna.log,17837.0,127.0,0.19,4.0,0.9866,179169.0,179.0,169.0,-5.0,1.5,5.220153254455275
127,Anna.log,17949.0,128.0,0.19,8.0,0.5116,636366.0,636.0,366.0,0.0,-5.5,5.5
128,Anna.log,18112.0,129.0,0.19,8.0,0.5116,404479.0,404.0,479.0,2.0,-5.5,5.852349955359813
129,Anna.log,18268.0,130.0,0.19,8.0,0.5116,119366.0,119.0,366.0,-4.0,-4.5,6.020797289396148
130,Anna.log,18424.0,131.0,0.19,8.0,0.5116,404479.0,404.0,479.0,-8.0,1.5,8.139410298049853
131,Anna.log,18548.0,132.0,0.19,1.0,0.0083,658232.0,658.0,232.0,-1.0,-3.5,3.640054944640259
132,Anna.log,18706.0,133.0,0.19,1.0,0.0083,119366.0,119.0,366.0,2.0,5.5,5.852349955359813
133,Anna.log,18807.0,134.0,0.19,1.0,0.0066,381295.0,381.0,295.0,3.0,3.5,4.6097722286464435
134,Anna.log,18971.0,135.0,0.19,1.0,0.0066,179169.0,179.0,169.0,0.0,-10.5,10.5
135,Anna.log,19100.0,136.0,0.19,1.0,0.0066,179169.0,179.0,169.0,8.0,3.5,8.73212459828649
136,Anna.log,19206.0,137.0,0.19,1.0,0.0066,658232.0,658.0,232.0,10.0,7.5,12.5
137,Anna.log,19293.0,138.0,0.19,1.0,0.0066,636366.0,636.0,366.0,8.0,7.5,10.965856099730654
138,Anna.log,19443.0,139.0,0.19,1.0,0.0066,60311.0,603.0,11.0,5.0,3.5,6.103277807866851
139,Anna.log,19587.0,140.0,0.19,1.0,0.0066,119366.0,119.0,366.0,-14.0,-10.5,17.5
140,Anna.log,19686.0,141.0,0.19,3.0,0.9966,9543.0,95.0,43.0,0.0,-9.5,9.5
141,Anna.log,19843.0,142.0,0.19,3.0,0.9966,9543.0,95.0,43.0,10.0,-13.5,16.80029761641144
142,Anna.log,19961.0,143.0,0.19,7.0,0.0066,464119.0,464.0,119.0,3.0,-3.5,4.6097722286464435
143,Anna.log,20122.0,144.0,0.19,7.0,0.0066,60311.0,603.0,11.0,-4.0,2.5,4.716990566028302
144,Anna.log,20259.0,145.0,0.19,7.0,0.0066,404479.0,404.0,479.0,1.0,-2.5,2.692582403567252
145,Anna.log,20395.0,146.0,0.19,7.0,0.0066,60311.0,603.0,11.0,4.0,8.5,9.394147114027968
146,Anna.log,20517.0,147.0,0.19,2.0,0.9783,404479.0,404.0,479.0,3.0,3.5,4.6097722286464435
147,Anna.log,20632.0,148.0,0.19,3.0,0.025,179169.0,179.0,169.0,5.0,6.5,8.200609733428363
148,Anna.log,20768.0,149.0,0.19,4.0,0.01,179169.0,179.0,169.0,-2.0,-1.5,2.5
149,Anna.log,20896.0,150.0,0.19,4.0,0.01,381295.0,381.0,295.0,-4.0,3.5,5.315072906367325
150,Anna.log,21007.0,151.0,0.19,4.0,0.01,119366.0,119.0,366.0,-4.0,4.5,6.020797289396148
151,Anna.log,21140.0,152.0,0.19,4.0,0.01,9543.0,95.0,43.0,9.0,-10.5,13.82931668593933
152,Anna.log,21276.0,153.0,0.19,4.0,0.01,404479.0,404.0,479.0,-2.0,4.5,4.924428900898052
153,Anna.log,21403.0,154.0,0.19,4.0,0.01,179169.0,179.0,169.0,-1.0,6.5,6.576473218982953
154,Anna.log,21527.0,155.0,0.19,4.0,0.01,119366.0,119.0,366.0,-1.0,-4.5,4.6097722286464435
155,Anna.log,21585.0,156.0,0.19,4.0,0.01,658232.0,658.0,232.0,7.0,12.5,14.326548781894402
156,Anna.log,21700.0,157.0,0.19,5.0,0.995,179169.0,179.0,169.0,-8.0,-9.5,12.419742348374221
157,Anna.log,21833.0,158.0,0.19,5.0,0.995,464119.0,464.0,119.0,-1.0,-2.5,2.692582403567252
158,Anna.log,21933.0,159.0,0.19,5.0,0.995,9543.0,95.0,43.0,0.0,3.5,3.5
159,Anna.log,22048.0,160.0,0.19,5.0,0.995,404479.0,404.0,479.0,2.0,4.5,4.924428900898052
160,Anna.log,22172.0,161.0,0.19,5.0,0.995,9543.0,95.0,43.0,-7.0,6.5,9.5524865872714
161,Anna.log,22268.0,162.0,0.19,5.0,0.995,179169.0,179.0,169.0,9.0,-7.5,11.715374513859981
162,Anna.log,22401.0,163.0,0.19,5.0,0.995,658232.0,658.0,232.0,12.0,-3.5,12.5
163,Anna.log,22505.0,164.0,0.19,8.0,0.0083,179169.0,179.0,169.0,-3.0,4.5,5.408326913195984
164,Anna.log,22682.0,165.0,0.19,8.0,0.0083,464119.0,464.0,119.0,4.0,-0.5,4.031128874149275
165,Anna.log,22803.0,166.0,0.19,8.0,0.0083,381295.0,381.0,295.0,2.0,1.5,2.5
166,Anna.log,22939.0,167.0,0.19,8.0,0.0083,119366.0,119.0,366.0,-6.0,-3.5,6.946221994724902
167,Anna.log,23059.0,168.0,0.19,8.0,0.0083,404479.0,404.0,479.0,-4.0,11.5,12.175795661885921
168,Anna.log,23166.0,169.0,0.19,8.0,0.03,381295.0,381.0,295.0,5.0,0.5,5.024937810560445
