2019-07-17 10:19:42,645 - BDM-WAM 1563355182.6244404 - INFO - <Event(17-VideoExpose {})>
2019-07-17 10:19:43,379 - BDM-WAM 1563355182.6244404 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 10:19:43,379 - BDM-WAM 1563355182.6244404 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 10:19:43,379 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (395, 339), 'rel': (396, 340), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:43,379 - BDM-WAM 1563355182.6244404 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 10:19:43,387 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (416, 333), 'rel': (21, -6), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:43,482 - BDM-WAM 1563355182.6244404 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 10:19:44,506 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (446, 335), 'rel': (10, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:44,523 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (466, 331), 'rel': (20, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:44,540 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (488, 327), 'rel': (22, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:44,558 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (498, 324), 'rel': (10, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:44,584 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (517, 318), 'rel': (19, -6), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:44,591 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (528, 314), 'rel': (11, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:19:44,607 - BDM-WAM 1563355182.6244404 - INFO - <Event(4-MouseMotion {'pos': (548, 304), 'rel': (20, -10), 'buttons': (0, 0, 0), 'window': None})>
