2019-11-20 21:53:20,007 - BDM-WAM 1574286799.8206518 - INFO - <Event(17-VideoExpose {})>
2019-11-20 21:53:22,363 - BDM-WAM 1574286799.8206518 - INFO - <Event(16-VideoResize {'w': 800, 'h': 700, 'size': (800, 700)})>
2019-11-20 21:53:22,364 - BDM-WAM 1574286799.8206518 - INFO - <Event(1-ActiveEvent {'state': 1, 'gain': 0})>
2019-11-20 21:53:22,364 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (381, 235), 'rel': (382, 236), 'window': None})>
2019-11-20 21:53:22,506 - BDM-WAM 1574286799.8206518 - INFO - <Event(3-KeyUp {'scancode': 46, 'key': 99, 'window': None, 'mod': 0})>
2019-11-20 21:53:22,725 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (490, 488), 'rel': (-2, -3), 'window': None})>
2019-11-20 21:53:22,741 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (487, 479), 'rel': (-3, -9), 'window': None})>
2019-11-20 21:53:22,758 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (484, 468), 'rel': (-3, -11), 'window': None})>
2019-11-20 21:53:22,775 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (480, 459), 'rel': (-4, -9), 'window': None})>
2019-11-20 21:53:22,792 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (474, 446), 'rel': (-6, -13), 'window': None})>
2019-11-20 21:53:22,809 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (471, 440), 'rel': (-3, -6), 'window': None})>
2019-11-20 21:53:22,825 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (469, 435), 'rel': (-2, -5), 'window': None})>
2019-11-20 21:53:22,842 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (466, 431), 'rel': (-3, -4), 'window': None})>
2019-11-20 21:53:22,858 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (463, 428), 'rel': (-3, -3), 'window': None})>
2019-11-20 21:53:22,873 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (461, 426), 'rel': (-2, -2), 'window': None})>
2019-11-20 21:53:22,891 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (459, 424), 'rel': (-2, -2), 'window': None})>
2019-11-20 21:53:22,909 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (457, 423), 'rel': (-2, -1), 'window': None})>
2019-11-20 21:53:22,924 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (455, 423), 'rel': (-2, 0), 'window': None})>
2019-11-20 21:53:22,940 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (454, 421), 'rel': (-1, -2), 'window': None})>
2019-11-20 21:53:22,956 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (450, 420), 'rel': (-4, -1), 'window': None})>
2019-11-20 21:53:22,972 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (447, 419), 'rel': (-3, -1), 'window': None})>
2019-11-20 21:53:22,988 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (443, 418), 'rel': (-4, -1), 'window': None})>
2019-11-20 21:53:23,004 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (440, 417), 'rel': (-3, -1), 'window': None})>
2019-11-20 21:53:23,022 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (434, 415), 'rel': (-6, -2), 'window': None})>
2019-11-20 21:53:23,037 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (431, 412), 'rel': (-3, -3), 'window': None})>
2019-11-20 21:53:23,053 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (428, 409), 'rel': (-3, -3), 'window': None})>
2019-11-20 21:53:23,070 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (425, 404), 'rel': (-3, -5), 'window': None})>
2019-11-20 21:53:23,087 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (419, 396), 'rel': (-6, -8), 'window': None})>
2019-11-20 21:53:23,103 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (417, 387), 'rel': (-2, -9), 'window': None})>
2019-11-20 21:53:23,119 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (414, 378), 'rel': (-3, -9), 'window': None})>
2019-11-20 21:53:23,137 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (413, 366), 'rel': (-1, -12), 'window': None})>
2019-11-20 21:53:23,153 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (413, 354), 'rel': (0, -12), 'window': None})>
2019-11-20 21:53:23,170 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (414, 338), 'rel': (1, -16), 'window': None})>
2019-11-20 21:53:23,186 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (417, 316), 'rel': (3, -22), 'window': None})>
2019-11-20 21:53:23,203 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (422, 298), 'rel': (5, -18), 'window': None})>
2019-11-20 21:53:23,219 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (426, 283), 'rel': (4, -15), 'window': None})>
2019-11-20 21:53:23,236 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (431, 261), 'rel': (5, -22), 'window': None})>
2019-11-20 21:53:23,253 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (434, 247), 'rel': (3, -14), 'window': None})>
2019-11-20 21:53:23,271 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (437, 231), 'rel': (3, -16), 'window': None})>
2019-11-20 21:53:23,287 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (438, 220), 'rel': (1, -11), 'window': None})>
2019-11-20 21:53:23,303 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (438, 213), 'rel': (0, -7), 'window': None})>
2019-11-20 21:53:23,319 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (438, 210), 'rel': (0, -3), 'window': None})>
