2019-11-20 22:26:27,711 - BDM-WAM 1574288787.623302 - INFO - <Event(17-VideoExpose {})>
2019-11-20 22:26:30,078 - BDM-WAM 1574288787.623302 - INFO - <Event(16-VideoResize {'h': 700, 'size': (800, 700), 'w': 800})>
2019-11-20 22:26:30,079 - BDM-WAM 1574288787.623302 - INFO - <Event(1-ActiveEvent {'state': 1, 'gain': 0})>
2019-11-20 22:26:30,079 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (799, 664), 'rel': (800, 665)})>
2019-11-20 22:26:30,270 - BDM-WAM 1574288787.623302 - INFO - <Event(3-KeyUp {'window': None, 'mod': 0, 'key': 99, 'scancode': 46})>
2019-11-20 22:26:30,358 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (276, 476), 'rel': (0, -1)})>
2019-11-20 22:26:30,375 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (280, 469), 'rel': (4, -7)})>
2019-11-20 22:26:30,391 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (286, 457), 'rel': (6, -12)})>
2019-11-20 22:26:30,408 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (292, 442), 'rel': (6, -15)})>
2019-11-20 22:26:30,424 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (294, 427), 'rel': (2, -15)})>
2019-11-20 22:26:30,441 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (294, 425), 'rel': (0, -2)})>
2019-11-20 22:26:30,459 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (295, 423), 'rel': (1, -2)})>
2019-11-20 22:26:30,475 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (296, 421), 'rel': (1, -2)})>
2019-11-20 22:26:30,491 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (296, 419), 'rel': (0, -2)})>
2019-11-20 22:26:30,507 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (295, 414), 'rel': (-1, -5)})>
2019-11-20 22:26:30,524 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (294, 406), 'rel': (-1, -8)})>
2019-11-20 22:26:30,541 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (293, 404), 'rel': (-1, -2)})>
2019-11-20 22:26:30,558 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (293, 403), 'rel': (0, -1)})>
2019-11-20 22:26:30,657 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (301, 404), 'rel': (8, 1)})>
2019-11-20 22:26:30,674 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (321, 408), 'rel': (20, 4)})>
2019-11-20 22:26:30,691 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (362, 407), 'rel': (41, -1)})>
2019-11-20 22:26:30,708 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (412, 401), 'rel': (50, -6)})>
2019-11-20 22:26:30,724 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (434, 396), 'rel': (22, -5)})>
2019-11-20 22:26:30,740 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (443, 391), 'rel': (9, -5)})>
2019-11-20 22:26:30,756 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (445, 389), 'rel': (2, -2)})>
2019-11-20 22:26:30,772 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (449, 386), 'rel': (4, -3)})>
2019-11-20 22:26:30,788 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (451, 382), 'rel': (2, -4)})>
2019-11-20 22:26:30,805 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (452, 377), 'rel': (1, -5)})>
2019-11-20 22:26:30,822 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (455, 371), 'rel': (3, -6)})>
2019-11-20 22:26:30,839 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (457, 365), 'rel': (2, -6)})>
2019-11-20 22:26:30,855 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (458, 361), 'rel': (1, -4)})>
2019-11-20 22:26:30,872 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (459, 357), 'rel': (1, -4)})>
2019-11-20 22:26:30,888 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (459, 355), 'rel': (0, -2)})>
2019-11-20 22:26:30,904 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (459, 353), 'rel': (0, -2)})>
2019-11-20 22:26:30,937 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (456, 351), 'rel': (-3, -2)})>
2019-11-20 22:26:30,953 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (452, 348), 'rel': (-4, -3)})>
2019-11-20 22:26:30,970 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (446, 344), 'rel': (-6, -4)})>
2019-11-20 22:26:30,986 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (441, 341), 'rel': (-5, -3)})>
2019-11-20 22:26:31,003 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (437, 339), 'rel': (-4, -2)})>
2019-11-20 22:26:31,020 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (435, 338), 'rel': (-2, -1)})>
2019-11-20 22:26:31,054 - BDM-WAM 1574288787.623302 - INFO - <Event(5-MouseButtonDown {'window': None, 'button': 1, 'pos': (435, 338)})>
2019-11-20 22:26:31,188 - BDM-WAM 1574288787.623302 - INFO - <Event(6-MouseButtonUp {'window': None, 'button': 1, 'pos': (435, 338)})>
2019-11-20 22:26:31,396 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (436, 338), 'rel': (1, 0)})>
2019-11-20 22:26:31,412 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (441, 340), 'rel': (5, 2)})>
2019-11-20 22:26:31,455 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (451, 345), 'rel': (10, 5)})>
2019-11-20 22:26:31,668 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (448, 346), 'rel': (-3, 1)})>
2019-11-20 22:26:31,684 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (447, 346), 'rel': (-1, 0)})>
2019-11-20 22:26:31,796 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (446, 346), 'rel': (-1, 0)})>
2019-11-20 22:26:31,813 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (445, 346), 'rel': (-1, 0)})>
2019-11-20 22:26:31,830 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (444, 346), 'rel': (-1, 0)})>
2019-11-20 22:26:31,863 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (443, 346), 'rel': (-1, 0)})>
2019-11-20 22:26:31,879 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (442, 346), 'rel': (-1, 0)})>
2019-11-20 22:26:31,896 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (439, 345), 'rel': (-3, -1)})>
2019-11-20 22:26:31,912 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (434, 343), 'rel': (-5, -2)})>
2019-11-20 22:26:31,929 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (429, 340), 'rel': (-5, -3)})>
2019-11-20 22:26:31,946 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (423, 334), 'rel': (-6, -6)})>
2019-11-20 22:26:31,962 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (419, 328), 'rel': (-4, -6)})>
2019-11-20 22:26:31,978 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (418, 325), 'rel': (-1, -3)})>
2019-11-20 22:26:31,995 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (418, 322), 'rel': (0, -3)})>
2019-11-20 22:26:32,011 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (422, 316), 'rel': (4, -6)})>
2019-11-20 22:26:32,028 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (428, 310), 'rel': (6, -6)})>
2019-11-20 22:26:32,075 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (451, 284), 'rel': (23, -26)})>
2019-11-20 22:26:32,076 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (452, 283), 'rel': (1, -1)})>
2019-11-20 22:26:32,092 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (470, 262), 'rel': (18, -21)})>
2019-11-20 22:26:32,109 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (484, 242), 'rel': (14, -20)})>
2019-11-20 22:26:32,125 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (493, 227), 'rel': (9, -15)})>
2019-11-20 22:26:32,142 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (501, 212), 'rel': (8, -15)})>
2019-11-20 22:26:32,187 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (518, 164), 'rel': (17, -48)})>
2019-11-20 22:26:32,206 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (520, 151), 'rel': (2, -13)})>
2019-11-20 22:26:32,224 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (523, 138), 'rel': (3, -13)})>
2019-11-20 22:26:32,240 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (526, 129), 'rel': (3, -9)})>
2019-11-20 22:26:32,256 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (528, 121), 'rel': (2, -8)})>
2019-11-20 22:26:32,298 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (531, 112), 'rel': (3, -9)})>
2019-11-20 22:26:32,316 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (532, 110), 'rel': (1, -2)})>
2019-11-20 22:26:32,333 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (533, 110), 'rel': (1, 0)})>
2019-11-20 22:26:32,415 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (544, 121), 'rel': (11, 11)})>
2019-11-20 22:26:32,432 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (566, 148), 'rel': (22, 27)})>
2019-11-20 22:26:32,448 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (581, 174), 'rel': (15, 26)})>
2019-11-20 22:26:32,464 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (590, 190), 'rel': (9, 16)})>
2019-11-20 22:26:32,480 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (597, 201), 'rel': (7, 11)})>
2019-11-20 22:26:32,497 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (600, 208), 'rel': (3, 7)})>
2019-11-20 22:26:32,514 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (603, 216), 'rel': (3, 8)})>
2019-11-20 22:26:32,530 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (606, 222), 'rel': (3, 6)})>
2019-11-20 22:26:32,548 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (610, 225), 'rel': (4, 3)})>
2019-11-20 22:26:32,564 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (612, 228), 'rel': (2, 3)})>
2019-11-20 22:26:32,581 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (614, 230), 'rel': (2, 2)})>
2019-11-20 22:26:32,597 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (616, 231), 'rel': (2, 1)})>
2019-11-20 22:26:32,614 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (618, 232), 'rel': (2, 1)})>
2019-11-20 22:26:32,631 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (622, 234), 'rel': (4, 2)})>
2019-11-20 22:26:32,648 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (631, 238), 'rel': (9, 4)})>
2019-11-20 22:26:32,663 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (636, 241), 'rel': (5, 3)})>
2019-11-20 22:26:32,680 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (649, 247), 'rel': (13, 6)})>
2019-11-20 22:26:32,697 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (664, 253), 'rel': (15, 6)})>
2019-11-20 22:26:32,712 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (677, 259), 'rel': (13, 6)})>
2019-11-20 22:26:32,728 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (680, 260), 'rel': (3, 1)})>
2019-11-20 22:26:32,745 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (680, 261), 'rel': (0, 1)})>
2019-11-20 22:26:32,777 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (682, 263), 'rel': (2, 2)})>
2019-11-20 22:26:32,794 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (686, 266), 'rel': (4, 3)})>
2019-11-20 22:26:32,811 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (692, 271), 'rel': (6, 5)})>
2019-11-20 22:26:32,827 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (708, 280), 'rel': (16, 9)})>
2019-11-20 22:26:32,843 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (721, 287), 'rel': (13, 7)})>
2019-11-20 22:26:32,859 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (727, 292), 'rel': (6, 5)})>
2019-11-20 22:26:32,927 - BDM-WAM 1574288787.623302 - INFO - <Event(5-MouseButtonDown {'window': None, 'button': 1, 'pos': (727, 292)})>
2019-11-20 22:26:32,927 - BDM-WAM 1574288787.623302 - INFO - <Event(8-Pause {'reason': <bound method GameManager.pause of <game.GameManager object at 0x000002D3549B5D68>> })>
2019-11-20 22:26:33,579 - BDM-WAM 1574288787.623302 - INFO - <Event(7-Rate {'': hit_conf50 })>
2019-11-20 22:26:33,845 - BDM-WAM 1574288787.623302 - INFO - <Event(7-Rate {'': reward_conf50 })>
