2019-11-22 08:43:54,443 - BDM-WAM 1574412234.2645018 - INFO - <Event(17-VideoExpose {})>
2019-11-22 08:43:56,056 - BDM-WAM 1574412234.2645018 - INFO - <Event(16-VideoResize {'size': (800, 700), 'w': 800, 'h': 700})>
2019-11-22 08:43:56,057 - BDM-WAM 1574412234.2645018 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-11-22 08:43:56,057 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (381, 492), 'window': None, 'rel': (382, 493), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,106 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (374, 469), 'window': None, 'rel': (2, 2), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,242 - BDM-WAM 1574412234.2645018 - INFO - <Event(3-KeyUp {'mod': 0, 'scancode': 46, 'key': 99, 'window': None})>
2019-11-22 08:43:56,243 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (378, 458), 'window': None, 'rel': (4, -11), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,244 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (379, 455), 'window': None, 'rel': (1, -3), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,262 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (380, 420), 'window': None, 'rel': (1, -35), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,277 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (382, 390), 'window': None, 'rel': (2, -30), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,323 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (388, 340), 'window': None, 'rel': (6, -50), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,342 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (389, 332), 'window': None, 'rel': (1, -8), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,358 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (389, 325), 'window': None, 'rel': (0, -7), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,375 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (387, 314), 'window': None, 'rel': (-2, -11), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,392 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (386, 306), 'window': None, 'rel': (-1, -8), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,408 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (385, 300), 'window': None, 'rel': (-1, -6), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,424 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (385, 298), 'window': None, 'rel': (0, -2), 'buttons': (0, 0, 0)})>
